original,tampered,region_hd,region_mr,region_verdict,global_phash_diff,md5_changed,sha256_changed,tamper_type,grid,threshold,is_actual_tampered,is_predicted_tampered,baseline_pred
00000001_000.png,crop_00000001_000.png,1914,1.0,Tampered,20,True,True,crop,8×8,1.0,True,True,True
00000001_001.png,crop_00000001_001.png,1930,1.0,Tampered,30,True,True,crop,8×8,1.0,True,True,True
00000001_002.png,crop_00000001_002.png,1994,1.0,Tampered,20,True,True,crop,8×8,1.0,True,True,True
00000002_000.png,crop_00000002_000.png,1900,1.0,Tampered,30,True,True,crop,8×8,1.0,True,True,True
00000003_000.png,crop_00000003_000.png,1970,1.0,Tampered,26,True,True,crop,8×8,1.0,True,True,True
00000003_001.png,crop_00000003_001.png,1912,1.0,Tampered,16,True,True,crop,8×8,1.0,True,True,True
00000003_002.png,crop_00000003_002.png,1856,1.0,Tampered,16,True,True,crop,8×8,1.0,True,True,True
00000003_003.png,crop_00000003_003.png,1908,1.0,Tampered,22,True,True,crop,8×8,1.0,True,True,True
00000003_004.png,crop_00000003_004.png,1908,1.0,Tampered,24,True,True,crop,8×8,1.0,True,True,True
00000003_005.png,crop_00000003_005.png,1862,1.0,Tampered,22,True,True,crop,8×8,1.0,True,True,True
00000003_006.png,crop_00000003_006.png,1950,1.0,Tampered,26,True,True,crop,8×8,1.0,True,True,True
00000003_007.png,crop_00000003_007.png,1970,1.0,Tampered,16,True,True,crop,8×8,1.0,True,True,True
00000004_000.png,crop_00000004_000.png,1992,1.0,Tampered,28,True,True,crop,8×8,1.0,True,True,True
00000005_000.png,crop_00000005_000.png,1914,1.0,Tampered,20,True,True,crop,8×8,1.0,True,True,True
00000005_001.png,crop_00000005_001.png,1930,1.0,Tampered,32,True,True,crop,8×8,1.0,True,True,True
00000005_002.png,crop_00000005_002.png,1940,1.0,Tampered,18,True,True,crop,8×8,1.0,True,True,True
00000005_003.png,crop_00000005_003.png,1816,0.98,Tampered,20,True,True,crop,8×8,1.0,True,True,True
00000005_004.png,crop_00000005_004.png,1950,1.0,Tampered,30,True,True,crop,8×8,1.0,True,True,True
00000005_005.png,crop_00000005_005.png,1892,1.0,Tampered,20,True,True,crop,8×8,1.0,True,True,True
00000005_006.png,crop_00000005_006.png,1916,1.0,Tampered,26,True,True,crop,8×8,1.0,True,True,True
00000005_007.png,crop_00000005_007.png,2002,1.0,Tampered,20,True,True,crop,8×8,1.0,True,True,True
00000006_000.png,crop_00000006_000.png,1934,1.0,Tampered,22,True,True,crop,8×8,1.0,True,True,True
00000007_000.png,crop_00000007_000.png,1936,1.0,Tampered,28,True,True,crop,8×8,1.0,True,True,True
00000008_000.png,crop_00000008_000.png,2014,1.0,Tampered,30,True,True,crop,8×8,1.0,True,True,True
00000008_001.png,crop_00000008_001.png,1948,1.0,Tampered,26,True,True,crop,8×8,1.0,True,True,True
00000008_002.png,crop_00000008_002.png,1996,1.0,Tampered,28,True,True,crop,8×8,1.0,True,True,True
00000009_000.png,crop_00000009_000.png,1920,1.0,Tampered,26,True,True,crop,8×8,1.0,True,True,True
00000010_000.png,crop_00000010_000.png,1928,1.0,Tampered,16,True,True,crop,8×8,1.0,True,True,True
00000011_000.png,crop_00000011_000.png,1986,1.0,Tampered,28,True,True,crop,8×8,1.0,True,True,True
00000011_001.png,crop_00000011_001.png,1974,1.0,Tampered,14,True,True,crop,8×8,1.0,True,True,True
00000011_002.png,crop_00000011_002.png,1874,1.0,Tampered,16,True,True,crop,8×8,1.0,True,True,True
00000011_003.png,crop_00000011_003.png,1942,1.0,Tampered,22,True,True,crop,8×8,1.0,True,True,True
00000011_004.png,crop_00000011_004.png,1946,1.0,Tampered,24,True,True,crop,8×8,1.0,True,True,True
00000011_005.png,crop_00000011_005.png,1878,1.0,Tampered,16,True,True,crop,8×8,1.0,True,True,True
00000011_006.png,crop_00000011_006.png,1814,1.0,Tampered,22,True,True,crop,8×8,1.0,True,True,True
00000011_007.png,crop_00000011_007.png,1998,1.0,Tampered,26,True,True,crop,8×8,1.0,True,True,True
00000011_008.png,crop_00000011_008.png,1974,1.0,Tampered,30,True,True,crop,8×8,1.0,True,True,True
00000012_000.png,crop_00000012_000.png,1854,1.0,Tampered,10,True,True,crop,8×8,1.0,True,True,True
00000013_000.png,crop_00000013_000.png,2008,1.0,Tampered,26,True,True,crop,8×8,1.0,True,True,True
00000013_001.png,crop_00000013_001.png,1966,1.0,Tampered,32,True,True,crop,8×8,1.0,True,True,True
00000013_002.png,crop_00000013_002.png,1970,1.0,Tampered,16,True,True,crop,8×8,1.0,True,True,True
00000013_003.png,crop_00000013_003.png,1974,1.0,Tampered,24,True,True,crop,8×8,1.0,True,True,True
00000013_004.png,crop_00000013_004.png,1932,1.0,Tampered,12,True,True,crop,8×8,1.0,True,True,True
00000013_005.png,crop_00000013_005.png,1916,1.0,Tampered,22,True,True,crop,8×8,1.0,True,True,True
00000013_006.png,crop_00000013_006.png,1906,1.0,Tampered,26,True,True,crop,8×8,1.0,True,True,True
00000013_007.png,crop_00000013_007.png,1928,1.0,Tampered,22,True,True,crop,8×8,1.0,True,True,True
00000013_008.png,crop_00000013_008.png,1986,1.0,Tampered,28,True,True,crop,8×8,1.0,True,True,True
00000013_009.png,crop_00000013_009.png,1842,1.0,Tampered,10,True,True,crop,8×8,1.0,True,True,True
00000013_010.png,crop_00000013_010.png,1876,1.0,Tampered,22,True,True,crop,8×8,1.0,True,True,True
00000013_011.png,crop_00000013_011.png,1928,1.0,Tampered,20,True,True,crop,8×8,1.0,True,True,True
00000013_012.png,crop_00000013_012.png,1974,1.0,Tampered,8,True,True,crop,8×8,1.0,True,True,True
00000013_013.png,crop_00000013_013.png,1906,1.0,Tampered,30,True,True,crop,8×8,1.0,True,True,True
00000013_014.png,crop_00000013_014.png,1944,1.0,Tampered,24,True,True,crop,8×8,1.0,True,True,True
00000013_015.png,crop_00000013_015.png,1908,1.0,Tampered,26,True,True,crop,8×8,1.0,True,True,True
00000013_016.png,crop_00000013_016.png,1944,1.0,Tampered,12,True,True,crop,8×8,1.0,True,True,True
00000013_017.png,crop_00000013_017.png,1930,1.0,Tampered,16,True,True,crop,8×8,1.0,True,True,True
00000013_018.png,crop_00000013_018.png,2002,1.0,Tampered,26,True,True,crop,8×8,1.0,True,True,True
00000013_019.png,crop_00000013_019.png,1984,1.0,Tampered,22,True,True,crop,8×8,1.0,True,True,True
00000013_020.png,crop_00000013_020.png,2016,1.0,Tampered,36,True,True,crop,8×8,1.0,True,True,True
00000013_021.png,crop_00000013_021.png,2006,1.0,Tampered,30,True,True,crop,8×8,1.0,True,True,True
00000013_022.png,crop_00000013_022.png,1926,1.0,Tampered,18,True,True,crop,8×8,1.0,True,True,True
00000013_023.png,crop_00000013_023.png,1968,1.0,Tampered,28,True,True,crop,8×8,1.0,True,True,True
00000013_024.png,crop_00000013_024.png,1900,1.0,Tampered,16,True,True,crop,8×8,1.0,True,True,True
00000013_025.png,crop_00000013_025.png,1908,1.0,Tampered,26,True,True,crop,8×8,1.0,True,True,True
00000013_026.png,crop_00000013_026.png,1882,1.0,Tampered,16,True,True,crop,8×8,1.0,True,True,True
00000013_027.png,crop_00000013_027.png,1996,1.0,Tampered,28,True,True,crop,8×8,1.0,True,True,True
00000013_028.png,crop_00000013_028.png,1928,1.0,Tampered,24,True,True,crop,8×8,1.0,True,True,True
